Product ID,Product Name Cleaned,Product Description,Category,Sub-Category,price,rate,Yahoo Image URL
FUR-BO-10001798,Bush Somerset Collection Bookcase,"The Bush Somerset Collection Bookcase is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Furniture,Bookcases,130.98,3,https://i.postimg.cc/NjcQ5fqm/Bush-Somerset-Collection-Bookcase-2.jpg
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,"The Self-Adhesive Address Labels for Typewriters by Universal is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Labels,243.98,1,https://i.postimg.cc/sx4wmcxV/Self-Adhesive-Address-Labels-for-Typewriters-by-Universal-3.jpg
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,"The Bretford CR4500 Series Slim Rectangular Table is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Furniture,Tables,7.31,5,https://i.postimg.cc/FFYr6BVd/Bretford-CR4500-Series-Slim-Rectangular-Table-4.jpg
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","The Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Furniture,Furnishings,191.5155,4,https://i.postimg.cc/fT4NrTbp/Eldon-Expressions-Wood-and-Plastic-Desk-Accessories-Cherry-Wood-5.jpg
OFF-PA-10002365,Xerox 1967,"The Xerox 1967 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Paper,11.184,5,https://i.postimg.cc/90CBD7ps/Xerox-1967-6.jpg
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,"The Fellowes PB200 Plastic Comb Binding Machine is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Binders,6.98,2,https://i.postimg.cc/NFXwjZdd/Fellowes-PB200-Plastic-Comb-Binding-Machine-7.jpg
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","The Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Appliances,1.82,2,https://i.postimg.cc/kgfLqnnn/Holmes-Replacement-Filter-for-HEPA-Air-Cleaner-Very-Large-Room-HEPA-Filter-8.jpg
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","The Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Storage,151.192,5,https://i.postimg.cc/KvQ0gJCf/Stur-D-Stor-Shelving-Vertical-5-Shelf-72-H-x-36-W-x-18-1-2-D-9.jpg
OFF-ST-10000107,Fellowes Super Stor/Drawer,"The Fellowes Super Stor/Drawer is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Storage,6.168,4,https://i.postimg.cc/htcqKyT0/Fellowes-Super-Stor-Drawer-10.jpg
OFF-AR-10003056,Newell 341,"The Newell 341 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Art,22.98,3,https://i.postimg.cc/9FBnYWwG/Newell-341-11.jpg
OFF-AR-10000246,Newell 318,"The Newell 318 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Art,189.576,1,https://i.postimg.cc/jSdk8GyB/Newell-318-12.jpg
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray","The Global Deluxe Stacking Chair, Gray is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Furniture,Chairs,227.856,4,https://i.postimg.cc/pT9wsgMP/Global-Deluxe-Stacking-Chair-Gray-13.jpg
OFF-BI-10001634,Wilson Jones Active Use Binders,"The Wilson Jones Active Use Binders is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Binders,5.184,1,https://i.postimg.cc/63d060dd/Wilson-Jones-Active-Use-Binders-14.jpg
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","The Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Furniture,Bookcases,135.992,1,https://i.postimg.cc/HLFZknFC/Riverside-Palais-Royal-Lawyers-Bookcase-Royale-Cherry-Finish-15.jpg
OFF-PA-10000249,Easy-staple paper,"The Easy-staple paper is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Paper,13.762,1,https://i.postimg.cc/s2nz6YB4/Easy-staple-paper-16.jpg
TEC-PH-10004977,GE 30524EE4,"The GE 30524EE4 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Technology,Phones,0.848,1,https://i.postimg.cc/R0brQv8P/GE-30524-EE4-17.jpg
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","The #10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Envelopes,110.98,3,https://i.postimg.cc/g2v15v76/10-4-1-8-x-9-1-2-Premium-Diagonal-Seam-Envelopes-18.jpg
TEC-PH-10004093,Panasonic Kx-TS550,"The Panasonic Kx-TS550 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Technology,Phones,27.75,2,https://i.postimg.cc/YSvD7Yn3/Panasonic-Kx-TS550-19.jpg
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum","The Eldon Base for stackable storage shelf, platinum is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Storage,4.28,2,https://i.postimg.cc/V6p81zWS/Eldon-Base-for-stackable-storage-shelf-platinum-20.jpg
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","The Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Office Supplies,Storage,71.16,4,https://i.postimg.cc/SKd3QmkS/Advantus-10-Drawer-Portable-Organizer-Chrome-Metal-Frame-Smoke-Drawers-21.jpg
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","The Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",Technology,Accessories,5.68,4,https://i.postimg.cc/13jMv4mN/Verbatim-25-GB-6x-Blu-ray-Single-Layer-Recordable-Disc-25-Pack-22.jpg
