City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
194,15,2,0,4,261.96,2,0.0,41.9136
194,15,2,0,5,731.94,3,0.0,219.582
266,3,3,1,10,14.62,2,0.0,6.8714
153,8,2,0,16,957.5775,5,0.45,-383.031
153,8,2,1,14,22.368,2,0.2,2.5164
266,3,3,0,9,48.86,7,0.0,14.1694
266,3,3,1,2,7.28,4,0.0,1.9656
266,3,3,2,13,907.152,6,0.2,90.7152
266,3,3,1,3,18.504,3,0.2,5.7825
266,3,3,1,1,114.9,5,0.0,34.47
266,3,3,0,16,1706.184,9,0.2,85.3092
266,3,3,2,13,911.424,4,0.2,68.3568
96,31,2,1,12,15.552,3,0.2,5.4432
452,45,3,1,3,407.976,3,0.2,132.5922
154,41,0,1,1,68.81,5,0.8,-123.858
154,41,0,1,3,2.544,3,0.8,-3.816
272,47,0,1,14,665.88,6,0.0,13.3176
513,42,3,1,14,55.5,2,0.0,9.99
438,3,3,1,2,8.56,2,0.0,2.4824
438,3,3,2,13,213.48,3,0.2,16.011
438,3,3,1,3,22.72,4,0.2,7.384
158,25,0,1,2,19.46,7,0.0,5.0596
158,25,0,1,1,60.34,7,0.0,15.6884
374,36,1,0,5,71.372,2,0.3,-1.0196
351,42,3,0,16,1044.63,3,0.0,240.2649
266,3,3,1,3,11.648,2,0.2,4.2224
266,3,3,2,0,90.57,3,0.0,11.7741
374,36,1,0,4,3083.43,7,0.5,-1665.0522
374,36,1,1,3,9.618,2,0.7,-7.0532
374,36,1,0,9,124.2,3,0.2,15.525
374,36,1,1,7,3.264,2,0.2,1.1016
374,36,1,1,2,86.304,6,0.2,9.7092
374,36,1,1,3,6.858,6,0.7,-5.715
374,36,1,1,2,15.76,2,0.2,3.546
207,41,0,1,12,29.472,3,0.2,9.9468
406,41,0,2,13,1097.544,7,0.2,123.4737
406,41,0,0,9,190.92,5,0.6,-147.963
207,41,0,1,7,113.328,9,0.2,35.415
207,41,0,0,4,532.3992,3,0.32,-46.9764
207,41,0,0,5,212.058,3,0.3,-15.147
207,41,0,2,13,371.168,4,0.2,41.7564
321,11,0,2,13,147.168,4,0.2,16.5564
266,3,3,1,14,77.88,2,0.0,3.894
288,8,2,1,14,95.616,2,0.2,9.5616
129,21,0,2,0,45.98,2,0.0,19.7714
129,21,0,1,3,17.46,2,0.0,8.2062
516,20,0,1,14,211.96,4,0.0,8.4784
124,6,1,2,0,45.0,3,0.0,4.95
124,6,1,2,13,21.8,2,0.0,6.104
324,12,0,1,3,38.22,6,0.0,17.9634
324,12,0,1,10,75.18,6,0.0,35.3346
324,12,0,0,9,6.16,2,0.0,2.9568
324,12,0,0,5,89.99,1,0.0,17.0981
329,30,1,1,8,15.26,7,0.0,6.2566
329,30,1,2,13,1029.95,5,0.0,298.6855
488,30,1,1,14,208.56,6,0.0,52.14
488,30,1,1,12,32.4,5,0.0,15.552
488,30,1,0,5,319.41,5,0.1,7.098
488,30,1,1,12,14.56,2,0.0,6.9888
488,30,1,2,0,30.0,2,0.0,3.3
488,30,1,1,3,48.48,4,0.2,16.362
488,30,1,1,2,1.68,1,0.0,0.84
266,3,3,2,0,13.98,2,0.0,6.1512
266,3,3,1,3,25.824,6,0.2,9.3612
266,3,3,1,12,146.73,3,0.0,68.9631
266,3,3,0,9,79.76,4,0.0,22.3328
80,11,0,0,5,213.115,5,0.3,-15.2225
166,1,3,1,2,1113.024,8,0.2,111.3024
166,1,3,2,13,167.968,4,0.2,62.988
464,44,2,1,12,75.88,2,0.0,35.6636
329,30,1,1,3,4.616,1,0.2,1.731
215,20,0,1,12,19.05,3,0.0,8.763
289,40,2,0,5,831.936,8,0.2,-114.3912
289,40,2,0,9,97.04,2,0.2,1.213
289,40,2,1,14,72.784,1,0.2,-18.196
207,41,0,1,3,1.248,3,0.8,-1.9344
207,41,0,0,9,9.708,3,0.6,-5.8248
207,41,0,1,14,27.24,3,0.2,2.724
207,41,0,0,9,19.3,5,0.6,-14.475
116,0,2,1,1,208.16,1,0.0,56.2032
116,0,2,1,3,16.74,3,0.0,8.0352
438,3,3,1,2,14.9,5,0.0,4.172
438,3,3,1,14,21.39,1,0.0,6.2031
128,31,2,1,7,200.984,7,0.2,62.8075
80,11,0,1,14,230.376,3,0.2,-48.9549
93,38,2,0,5,301.96,2,0.0,33.2156
410,21,0,2,0,19.99,1,0.0,6.7966
410,21,0,1,10,6.16,2,0.0,2.9568
207,41,0,1,14,158.368,7,0.2,13.8572
266,3,3,1,2,20.1,3,0.0,6.633
266,3,3,2,13,73.584,2,0.2,8.2782
266,3,3,1,12,6.48,1,0.0,3.1104
300,21,0,1,12,12.96,2,0.0,6.2208
300,21,0,0,9,53.34,3,0.0,16.5354
300,21,0,1,3,32.96,2,0.0,16.1504
389,35,3,1,3,5.682,1,0.7,-3.788
329,30,1,0,9,96.53,7,0.0,40.5426
438,3,3,1,3,51.312,3,0.2,17.9592
427,21,0,1,1,77.88,6,0.0,22.5852
80,11,0,1,12,64.624,7,0.2,22.6184
80,11,0,2,0,95.976,3,0.2,-10.7973
80,11,0,1,3,1.788,3,0.8,-3.0396
410,21,0,1,12,23.92,4,0.0,11.7208
24,4,3,2,0,238.896,6,0.2,-26.8758
24,4,3,0,9,102.36,3,0.2,-3.8385
24,4,3,1,3,36.882,3,0.7,-25.8174
74,31,2,2,0,74.112,8,0.2,17.6016
74,31,2,2,13,27.992,1,0.2,2.0994
74,31,2,1,2,3.304,1,0.2,1.0738
352,11,0,2,0,339.96,5,0.2,67.992
329,30,1,0,9,41.96,2,0.0,10.9096
494,13,0,1,2,75.96,2,0.0,22.788
494,13,0,1,3,27.24,6,0.0,13.3476
94,33,1,1,8,40.096,14,0.2,14.5348
94,33,1,1,7,4.72,2,0.2,1.652
94,33,1,1,12,23.976,3,0.2,7.4925
94,33,1,1,7,130.464,6,0.2,44.0316
452,45,3,0,16,787.53,3,0.0,165.3813
51,40,2,1,3,157.794,1,0.7,-115.7156
521,6,1,0,9,47.04,3,0.0,18.3456
521,6,1,1,3,30.84,4,0.0,13.878
521,6,1,1,14,226.56,6,0.0,63.4368
521,6,1,1,7,115.02,9,0.0,51.759
521,6,1,2,13,68.04,7,0.0,19.7316
207,41,0,0,5,600.558,3,0.3,-8.5794
41,11,0,0,16,617.7,6,0.5,-407.682
375,1,3,1,3,2.388,2,0.7,-1.8308
375,1,3,1,14,243.992,7,0.2,30.499
266,3,3,0,5,81.424,2,0.2,-9.1602
266,3,3,0,9,238.56,3,0.0,26.2416
94,33,1,2,13,59.97,5,0.4,-11.994
94,33,1,1,12,78.304,2,0.2,29.364
94,33,1,1,8,21.456,9,0.2,6.9732
418,3,3,1,12,20.04,3,0.0,9.6192
418,3,3,1,12,35.44,1,0.0,16.6568
418,3,3,1,2,11.52,4,0.0,3.456
418,3,3,1,8,4.02,2,0.0,1.9698
418,3,3,1,3,76.176,3,0.2,26.6616
