Product ID,Product Name Cleaned,Product Description,Price,Category,Sub-Category,stock
FUR-BO-10001798,Bush Somerset Collection Bookcase,"The Bush Somerset Collection Bookcase is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",130.98,Furniture,Bookcases,3
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,"The Self-Adhesive Address Labels for Typewriters by Universal is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",7.31,Office Supplies,Labels,4
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,"The Bretford CR4500 Series Slim Rectangular Table is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",191.5155,Furniture,Tables,5
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","The Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",6.98,Furniture,Furnishings,4
OFF-PA-10002365,Xerox 1967,"The Xerox 1967 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",5.184,Office Supplies,Paper,1
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,"The Fellowes PB200 Plastic Comb Binding Machine is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",135.992,Office Supplies,Binders,5
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","The Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",13.762,Office Supplies,Appliances,2
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","The Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",110.98,Office Supplies,Storage,4
OFF-ST-10000107,Fellowes Super Stor/Drawer,"The Fellowes Super Stor/Drawer is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",27.75,Office Supplies,Storage,1
OFF-AR-10003056,Newell 341,"The Newell 341 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",4.28,Office Supplies,Art,2
OFF-AR-10000246,Newell 318,"The Newell 318 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",2.78,Office Supplies,Art,3
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray","The Global Deluxe Stacking Chair, Gray is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",35.686,Furniture,Chairs,2
OFF-BI-10001634,Wilson Jones Active Use Binders,"The Wilson Jones Active Use Binders is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",5.824,Office Supplies,Binders,4
